nPsoRun,n_iter,S,fgbest,optDes
179,590,300,0.5794087690355407,[0.9999999999567324; -0.000304525478643884; -0.9999999988687829; 0.0003811314388037309; -0.779931929373962; 0.7799388353570674]
180,300,300,0.5794087269112242,[1.0; -0.7799349126307371; 0.7799360425677233; -1.0; -0.0001506512516133696; 0.00016233408042135188]
181,887,300,0.5794093088043233,[-0.9999999910057359; -0.0008159300572596186; -0.0009197104027313952; 0.9999998048155079; 0.779857049629422; -0.7800135634573014]
182,705,300,0.5794098566873574,[0.7798195938831707; -0.7800510233257943; -1.0; 1.0; -0.0012838530891382159; -0.0012830950191695671]
183,381,300,0.5794087603930573,[0.00033764907842194833; 0.7799377364789013; -1.0; -0.00028557067450932184; 0.9999999996279584; -0.779933080653834]
184,564,300,0.5794092038415719,[-0.7799757257290965; 0.7798944216908819; 5.934408646943107e-5; -1.0; 1.0; -0.000961205000958886]
185,461,300,0.5794086904490232,[-0.7799382982557642; 0.7799325858529836; 3.396622381405793e-6; -1.0; -6.674632513461288e-5; 0.9999999948144743]
186,552,300,0.5794104449291694,[-0.0015429462350369694; -0.7800433020232037; 0.7798267843676256; -0.0008539982406734702; 0.9999996086611818; -0.9999998460137665]
187,391,300,0.5794087397652758,[0.0002825799095380194; 0.9999999935729827; -0.7799139738481893; -0.999999999999768; 0.779956879587839; 0.00019333536838601903]
188,624,300,0.5794089970837695,[0.9999999999914388; 0.0006585805889220704; -0.9999999888247285; -0.7798761270003067; 0.0006564501858010917; 0.7799946876885381]
