nPsoRun,n_iter,S,fgbest,optDes
129,237,300,-75.00000000000001,[1.1727861601756488e-10; 1.0757859149838379e-9; -9.663524351096487e-9; 1.0; -1.0; -1.0; 1.0; -1.0; 0.9999999999999999]
130,275,300,-75.00000000000003,[2.0489045346631373e-8; -1.0; -1.0; 1.0; -3.230745299414284e-9; 1.0; 1.0; -8.603725344364835e-9; -0.9999999999999999]
131,368,300,-75.00000000000003,[-1.0; 2.094269578680861e-8; -1.0141298254983596e-8; 1.0; -1.0; -0.9999999999999999; -1.7657969386307784e-8; 1.0; 1.0]
132,213,300,-75.00000000000001,[1.0; -1.0; -1.0; 1.0; 1.0; -1.0; -2.0790447098181567e-8; 1.1903823955811299e-8; 5.567241839260884e-9]
133,334,300,-75.00000000000003,[1.0; -1.0; -1.4051249706395909e-8; 6.2167039036017754e-9; 1.0; 1.0; -1.0; -1.0; 3.7146073173930037e-9]
134,218,300,-75.00000000000001,[1.0; 1.4452986371816095e-8; 1.0; -1.997810880738525e-8; -1.0; -1.0; 1.0; -5.888597393647476e-9; -1.0]
135,286,300,-75.00000000000003,[1.0; 1.4492771133127104e-8; -4.067450006540479e-9; -1.4894547024716737e-8; -1.0; -1.0; -1.0; 1.0; 1.0]
136,311,300,-75.00000000000001,[1.0; 4.5686235297826725e-10; -1.0; -1.0; -7.76225656329247e-9; -8.23703961916188e-9; 1.0; 1.0; -1.0]
137,284,300,-75.00000000000003,[1.0; -1.0; 4.26589330630969e-9; -1.0; 1.0; -1.0; -7.615338898830475e-10; 1.0; -1.2784913513499125e-8]
138,208,300,-75.00000000000001,[1.0; 1.0; 2.190140530720475e-8; -3.6107925516369086e-9; -3.625102231628909e-10; -1.0; -1.0; 1.0; -1.0]
139,222,300,-75.00000000000001,[1.0; 1.4955099008217794e-8; -1.0; 1.1502076548628266e-8; -1.0; 1.0; 1.0; -1.0; -1.6289152484755635e-9]
140,237,300,-75.00000000000003,[-1.0; 1.0; 7.373456567665614e-9; -2.5752555391888223e-8; -0.9999999999999999; 2.1613504497558312e-8; 1.0; -1.0; 1.0]
141,258,300,-75.00000000000001,[3.0086482313251745e-9; -1.0; 1.0; -1.0; -1.11931261016569e-8; -0.9999999999999999; -2.1690557045815646e-9; 1.0; 1.0]
142,248,300,-75.00000000000001,[-5.2215218396911815e-9; 1.0; -1.0; 2.1222921616371683e-8; 1.0; -1.0; -1.0; 1.0; 1.1507320168143368e-8]
143,291,300,-75.00000000000001,[1.0; 1.0; -5.142796795462481e-9; -1.0; -2.220922904977803e-8; 1.0; -1.0; -2.681404997990431e-9; -1.0]
144,241,300,-75.00000000000001,[-1.0; -5.51553162260172e-9; -1.4015165189091962e-9; 1.0; 1.6544130165028158e-8; 1.0; -1.0; 1.0; -1.0]
145,254,300,-75.00000000000001,[1.0; -1.0; -1.0; 1.0; 8.165752849497608e-9; 2.5534277263001146e-9; -1.7475265260593827e-8; -1.0; 1.0]
146,315,300,-75.00000000000001,[1.8118282364136898e-8; -1.1664719508259104e-8; -1.0; 1.0; 1.0; 1.0; -1.1609309983081656e-8; -1.0; -1.0]
147,314,300,-75.00000000000001,[-1.0; -9.38337085102869e-9; 1.0; 4.0999936248182655e-9; -1.5003830307410126e-8; 1.0; -1.0; 1.0; -1.0]
148,302,300,-75.00000000000003,[-1.0; -1.0; 1.0; 1.0; 1.0; -1.221591009373747e-8; -2.686479757520004e-9; -0.9999999999999999; 8.042299527071623e-9]
149,290,300,-75.00000000000003,[1.0; -1.0101577333861063e-8; 1.0; 1.5463160055935338e-8; -1.0; -1.0; -1.0158443575417095e-8; 1.0; -1.0]
150,257,300,-75.00000000000003,[1.0; -1.0; -1.0; 6.68967727739494e-9; 7.429163950219744e-9; 1.0; -1.8701492826579727e-8; 1.0; -1.0]
151,288,300,-75.00000000000001,[1.0; 1.0; 1.0467221220411328e-8; 2.277702827622853e-8; -1.0; -1.0; 1.0; -3.9389000679671025e-9; -1.0]
152,250,300,-75.00000000000001,[-1.0; -2.0294326272972098e-8; 1.0; -1.9844074861970386e-8; 2.4340017531436614e-8; -1.0; 1.0; -1.0; 0.9999999999999997]
153,281,300,-75.00000000000001,[-1.289447281599565e-8; 8.356897188987947e-9; -1.0; -1.0; 1.0; 0.9999999999999999; 5.888083905023205e-9; -1.0; 1.0]
154,237,300,-75.00000000000003,[6.689603465178275e-9; -9.237124839409555e-9; 1.0; -2.1677810593217066e-8; -1.0; 1.0; -1.0; 1.0; -1.0]
155,240,300,-75.00000000000001,[-1.931591899886527e-8; -1.0; 1.0; 1.0; 5.527880555936184e-9; -1.0; 1.0; -1.0; -4.749494818631625e-9]
156,251,300,-75.00000000000001,[-1.0; 1.0; -1.1373548542678178e-8; 5.515138593355666e-9; 1.0; -1.491657264696614e-9; -1.0; -1.0; 1.0]
157,277,300,-75.00000000000001,[-1.0; -2.327671380731414e-9; 1.0; -1.0; 1.0914467240644505e-8; -2.2136005577928908e-8; 1.0; -1.0; 1.0]
158,229,300,-75.00000000000001,[-1.039823581329724e-8; 1.5218991368999096e-9; 1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -3.438624101498027e-10]
159,206,300,-75.00000000000001,[6.801402112486063e-9; -1.0; -1.0; 1.0; 1.0; -9.392099484065e-9; 2.4563239688679675e-9; -1.0; 1.0]
160,269,300,-75.00000000000003,[-8.035666669726594e-9; -1.0; 9.141191050520662e-9; -1.0; 1.0; 1.0; 1.0; -1.522459759698473e-8; -1.0]
161,235,300,-75.00000000000001,[1.0; 1.0; -1.0; 1.0; 6.2132046294204816e-9; -1.0; -1.0; 2.1069013622471492e-8; 1.3484499768437705e-9]
162,249,300,-75.00000000000003,[-2.4263491412770894e-9; -1.0; 1.0; 1.0; -1.0; 1.3563054883567178e-10; 6.653719603171283e-9; -1.0; 1.0]
